datum,wochentag,woche_thema,plattformen,format,titel,caption,hashtags,posting_uhrzeit,status,notizen
2026-03-11,Dienstag,Education,Instagram + Facebook,Static Post,Gamification erklärt: Warum TrumpetStar sich wie ein Game anfühlt,"⭐ Sterne 🏅 Badges 📈 Level-System 🔥 Streak-Tracking. Erwachsene lernen besser mit Struktur + Belohnung. 👆 www.trumpetstar.app","#gamification #lernen #motivation #trompete #level #badges",18:00,scheduled,Story: JA/NEIN Umfrage Gamification
2026-03-12,Mittwoch,Education,TikTok + YouTube Shorts,Video,Behind the Scenes: TrumpetStar Tutorial-Produktion,"So entstehen TrumpetStar Tutorials 🎬🎺 Klare Schritte. Kein Fachchinesisch. Keine Überforderung. 👆 www.trumpetstar.app","#behindthescenes #produktion #trompete #tutorial #trumpetstar",18:00,scheduled,BTS: Setup Licht Kamera zeigen
2026-03-13,Donnerstag,Education,Instagram + Facebook,Quote Card,Testimonial: Sabine 52 Jahre,"„Lernen braucht kein Talent — nur die richtige Methode." — Sabine 52 Lehrerin ⭐⭐⭐⭐⭐ Dein Traum verjährt nicht. 🎺 www.trumpetstar.app","#testimonial #trompete #träume #erwachsenelernen #nevertooolate",18:00,scheduled,Quote Card Design
2026-03-14,Freitag,Education,Instagram + TikTok,Reel,FAQ: 3 Fragen die ich jede Woche bekomme,"3 Fragen. 3 ehrliche Antworten. Eigene Trompete? Ja. Wie viel Zeit? 5 Min. Kein Musikgefühl? Genau dafür haben wir das System. 👆 www.trumpetstar.app","#faq #trompete #fragen #lernen #anfänger #trumpetstar",18:00,scheduled,Q&A-Format direkt in Kamera
2026-03-15,Samstag,Social Proof,Instagram + TikTok + YouTube,Reel,10.000+ Lernende — was sie verbindet,"10.000+ Menschen haben angefangen. Ingenieure. Lehrer. Rentner. 35-67 Jahre. Was sie verbindet? Sie haben ANGEFANGEN. 👆 www.trumpetstar.app","#community #trompete #10000 #anfangen #trumpetstar",18:00,scheduled,Schnellschnitt verschiedene Altersgruppen
2026-03-16,Sonntag,Social Proof,Instagram + Facebook,Carousel,5 echte Menschen. 5 echte Ergebnisse.,"Echte Menschen. Echte Ergebnisse. Kein Schauspieler. Deine Geschichte könnte die nächste sein. www.trumpetstar.app","#erfolg #testimonials #trompete #echteresultate #trumpetstar",18:00,scheduled,Slides: Peter / Sabine / Klaus / Maria
2026-03-17,Montag,Social Proof,TikTok + Instagram,Reel,Was nach 7 Tagen TrumpetStar passiert,"Tag 1: Erster Ton ✅ Tag 3: Kontrolle ✅ Tag 5: Melodie ✅ Tag 7: Ich kann das wirklich ✅. Kostenlos starten → www.trumpetstar.app","#7tage #fortschritt #trompete #challenge #lernen",18:00,scheduled,Tag-für-Tag Progression zeigen
2026-03-18,Dienstag,Social Proof,Instagram + Facebook,Static Post,Statistiken: Zahlen lügen nicht,"70% sind 35-65 Jahre. Ø Alter 42. 80% ohne Vorkenntnisse. 95% spielen nach 30 Tagen ersten Song. 🎺 www.trumpetstar.app","#statistik #fakten #trompete #daten #erwachsenelernen",18:00,scheduled,Infografik mit Zahlen
2026-03-19,Mittwoch,Social Proof,TikTok + YouTube Shorts,Short,Buzzing: Das Geheimnis hinter jedem Trompeter,"👄 Lippen zusammen 💨 Luft durch die Mitte 🎵 Vibrieren lassen. Das ist Schritt 1. Schritt 2-7 → www.trumpetstar.app","#buzzing #trompete #geheimnis #tutorial #anfänger",18:00,scheduled,Demo in 20 Sek.
2026-03-20,Donnerstag,Social Proof,Facebook + Instagram,Quote Card,Testimonial: Klaus 65 Jahre,"„Mit 65 stand ich das erste Mal auf einer Bühne. Danke Mario." — Klaus 65 im Ruhestand ⭐⭐⭐⭐⭐ Nie aufhören zu träumen. 🎺 www.trumpetstar.app","#bühne #traum #trompete #seniorlearning #trumpetstar",18:00,scheduled,Quote Card Design
2026-03-21,Freitag,Social Proof,Instagram + TikTok + Facebook,Reel,Frühlingsaktion: Jetzt neu starten,"Frühlingsanfang. Neuer Start. 🌸🎺 7 Tage kostenlos testen. 👆 www.trumpetstar.app Kommentar: Was ist dein Frühlingsvorhaben?","#frühling #neustart #trompete #motivation #2026",18:00,scheduled,Story: Countdown Challenge startet Montag
2026-03-22,Samstag,Challenge,Instagram + TikTok + YouTube,Reel,7-Tage-Challenge Announcement,"🎺 7-TAGE-CHALLENGE STARTET JETZT 🔥 Tag 1-7 Plan. Komplett kostenlos. Kommentar: ICH BIN DABEI! 👇 www.trumpetstar.app","#challenge #trompete #7tage #lernen #trumpetstar",18:00,scheduled,Announcement Reel 60 Sek.
2026-03-23,Sonntag,Challenge,Instagram + Facebook,Carousel,Challenge Tag 1 Guide: Buzzing,"Challenge Tag 1 — Los geht's! Poste dein Video: @trumpetstar_official #trumpetstar7tage 🔥 www.trumpetstar.app","#challenge #tag1 #trompete #anfänger #gemeinsam #trumpetstar7tage",18:00,scheduled,5 Slides: Was brauche ich / Übung / Ziel / Community
2026-03-24,Montag,Challenge,TikTok + Instagram,Reel,Motivations-Push: Tag 3 ist der härteste,"Tag 3: Die Neuheit ist weg. Der Durchbruch noch nicht da. Aber genau hier entscheidet sich alles. Mach weiter. 👆 www.trumpetstar.app","#challenge #motivation #tag3 #durchhalten #trompete",18:00,scheduled,Direkt in Kamera sprechen
2026-03-25,Dienstag,Challenge,Instagram + Facebook,Static Post,Challenge Update: 200+ Teilnehmer,"200+ angemeldet. 80+ Videos gepostet. ⭐⭐⭐⭐⭐ Du bist noch nicht dabei? Jetzt starten. 👆 www.trumpetstar.app","#update #challenge #trompete #community #fortschritt",18:00,scheduled,Story: Countdown Noch 3 Tage
2026-03-26,Mittwoch,Challenge,TikTok + YouTube Shorts,Short,Tag 5 der Challenge: Was jetzt möglich ist,"Tag 5: 3 Töne kontrolliert ✅ Erste Melodie ✅ 25 Min geübt ✅. Noch nicht dabei? 👆 www.trumpetstar.app","#tag5 #challenge #fortschritt #trompete",18:00,scheduled,Lernender spielt erste Melodie
2026-03-27,Donnerstag,Challenge,Instagram + Facebook,Quote Card,Testimonial: Thomas 49 Jahre (Tag 6),"„Tag 6. Ich spiele meine erste Melodie. Völlig ungläubig." — Thomas 49 Challenge-Teilnehmer 🎺 Morgen: Dein erster kompletter Song. www.trumpetstar.app","#challenge #testimonial #tag6 #trompete #ergebnis",18:00,scheduled,Quote Card Real-Time Testimonial
2026-03-28,Freitag,Challenge,Instagram + TikTok + Facebook + YouTube,Reel,Challenge abgeschlossen: Die Ergebnisse,"🏆 CHALLENGE COMPLETE. 7 Tage. 5 Min. Eine Entscheidung. Die nächste startet JETZT. 🎺 www.trumpetstar.app Kommentar: Ich starte jetzt!","#challengecomplete #trompete #ergebnis #7tage #trumpetstar",18:00,scheduled,Compilation der Teilnehmer-Videos
2026-03-29,Samstag,April-Ausblick,Instagram + TikTok + Facebook,Reel,März Rückblick: Was diesen Monat passiert ist,"März im Rückblick 🎺 Challenge done. Hunderte erste Töne. April: Neue Songs + Level-System + Live Q&A. Kommentar: APRIL! 👇","#rückblick #märz #trompete #community #april",18:00,scheduled,Monatsrückblick + Tease April
2026-03-30,Sonntag,April-Ausblick,Instagram + Facebook,Carousel,Was April bei TrumpetStar bringt,"April Ausblick 🎺 Neue Songs / Duet-Modus / Live Q&A mit Mario. Jetzt der perfekte Zeitpunkt. 🎺 www.trumpetstar.app","#april #vorschau #trompete #neu #trumpetstar",18:00,scheduled,4 Slides: Neue Songs / Duet / Q&A / CTA
2026-03-31,Montag,April-Ausblick,Instagram + TikTok + Facebook,Post,Letzter Tag März: Jetzt noch starten,"Letzter Tag im März. Morgen April. Neuer Start. Du kannst JETZT anfangen. 7-Tage-Challenge kostenlos. 👆 www.trumpetstar.app Kommentar: Ich starte im April!","#letzterchance #april #neustart #trompete #jetzt",18:00,scheduled,Story: Welchen Moment willst du im April erreichen?
